id_user,tanggal,suhu,nilai_polusi,lokasi
71,1,2025-11-27,29.26,10,Perpustakaan
72,1,2025-11-27,29.26,10,"Fakultas Farmasi"
73,1,2025-11-27,29.02,12,"Gedung A"
74,1,2025-11-27,29.02,12,Rektorat
75,1,2025-11-27,29.02,12,"Gedung F"
76,1,2025-11-27,29.02,12,"Gedung B"
77,1,2025-11-27,29.02,12,Perpustakaan
78,1,2025-11-27,29.02,12,"Fakultas Farmasi"
69,1,2025-11-27,29.26,10,"Gedung F"
68,1,2025-11-27,29.26,10,Rektorat
59,1,2025-11-27,29.7,8,Perpustakaan
60,1,2025-11-27,29.7,8,"Fakultas Farmasi"
62,1,2025-11-27,29.29,10,Rektorat
61,1,2025-11-27,29.29,10,"Gedung A"
63,1,2025-11-27,29.29,10,"Gedung F"
67,1,2025-11-27,29.26,10,"Gedung A"
64,1,2025-11-27,29.29,10,"Gedung B"
65,1,2025-11-27,29.29,10,Perpustakaan
66,1,2025-11-27,29.29,10,"Fakultas Farmasi"
26,1,2025-11-26,29.4,7,Rektorat
25,1,2025-11-26,29.4,7,"Gedung A"
24,1,2025-11-26,29.4,7,"Fakultas Farmasi"
23,1,2025-11-26,29.4,7,Perpustakaan
22,1,2025-11-26,29.4,7,"Gedung B"
21,1,2025-11-26,29.4,7,"Gedung F"
20,1,2025-11-26,29.4,7,Rektorat
19,1,2025-11-26,29.4,7,"Gedung A"
27,1,2025-11-26,29.4,7,"Gedung F"
28,1,2025-11-26,29.4,7,"Gedung B"
36,1,2025-11-26,29.37,7,"Fakultas Farmasi"
35,1,2025-11-26,29.37,7,Perpustakaan
34,1,2025-11-26,29.37,7,"Gedung B"
33,1,2025-11-26,29.37,7,"Gedung F"
32,1,2025-11-26,29.37,7,Rektorat
31,1,2025-11-26,29.37,7,"Gedung A"
29,1,2025-11-26,29.4,7,Perpustakaan
30,1,2025-11-26,29.4,7,"Fakultas Farmasi"
3,1,2025-11-25,29.35,13,"Gedung F"
4,1,2025-11-25,29.35,13,"Gedung B"
2,1,2025-11-25,29.35,13,Rektorat
6,1,2025-11-25,29.35,13,"Fakultas Farmasi"
7,1,2025-11-25,28.83,16,"Gedung A"
8,1,2025-11-25,28.83,16,Rektorat
9,1,2025-11-25,28.83,16,"Gedung F"
5,1,2025-11-25,29.35,13,Perpustakaan
10,1,2025-11-25,28.83,16,"Gedung A"
12,1,2025-11-25,28.83,16,Rektorat
13,1,2025-11-25,28.83,16,Perpustakaan
14,1,2025-11-25,28.83,16,"Gedung F"
15,1,2025-11-25,28.83,16,"Fakultas Farmasi"
16,1,2025-11-25,28.83,16,"Gedung B"
17,1,2025-11-25,28.83,16,Perpustakaan
18,1,2025-11-25,28.83,16,"Fakultas Farmasi"
1,1,2025-11-25,29.35,13,"Gedung A"
11,1,2025-11-25,28.83,16,"Gedung B"
